data,ano,mes,dia,dia_da_semana,nome_mes,dia_da_semana_num,fim_de_semana,data_chave
2023-04-03,2023,4,3,Segunda-feira,Abril,0,False,20230403
2023-04-04,2023,4,4,Terça-feira,Abril,1,False,20230404
2023-04-05,2023,4,5,Quarta-feira,Abril,2,False,20230405
2023-04-06,2023,4,6,Quinta-feira,Abril,3,False,20230406
2023-04-07,2023,4,7,Sexta-feira,Abril,4,False,20230407
2023-04-08,2023,4,8,Sábado,Abril,5,True,20230408
2023-04-09,2023,4,9,Domingo,Abril,6,True,20230409
2023-04-10,2023,4,10,Segunda-feira,Abril,0,False,20230410
2023-04-11,2023,4,11,Terça-feira,Abril,1,False,20230411
2023-04-12,2023,4,12,Quarta-feira,Abril,2,False,20230412
2023-04-13,2023,4,13,Quinta-feira,Abril,3,False,20230413
2023-04-14,2023,4,14,Sexta-feira,Abril,4,False,20230414
2023-04-15,2023,4,15,Sábado,Abril,5,True,20230415
2023-04-16,2023,4,16,Domingo,Abril,6,True,20230416
2023-04-17,2023,4,17,Segunda-feira,Abril,0,False,20230417
2023-04-18,2023,4,18,Terça-feira,Abril,1,False,20230418
2023-04-19,2023,4,19,Quarta-feira,Abril,2,False,20230419
2023-04-20,2023,4,20,Quinta-feira,Abril,3,False,20230420
2023-04-21,2023,4,21,Sexta-feira,Abril,4,False,20230421
2023-04-22,2023,4,22,Sábado,Abril,5,True,20230422
2023-04-23,2023,4,23,Domingo,Abril,6,True,20230423
2023-04-24,2023,4,24,Segunda-feira,Abril,0,False,20230424
2023-04-25,2023,4,25,Terça-feira,Abril,1,False,20230425
2023-04-26,2023,4,26,Quarta-feira,Abril,2,False,20230426
2023-04-27,2023,4,27,Quinta-feira,Abril,3,False,20230427
2023-04-28,2023,4,28,Sexta-feira,Abril,4,False,20230428
2023-04-29,2023,4,29,Sábado,Abril,5,True,20230429
2023-04-30,2023,4,30,Domingo,Abril,6,True,20230430
2023-05-01,2023,5,1,Segunda-feira,Maio,0,False,20230501
2023-05-02,2023,5,2,Terça-feira,Maio,1,False,20230502
2023-05-03,2023,5,3,Quarta-feira,Maio,2,False,20230503
2023-05-04,2023,5,4,Quinta-feira,Maio,3,False,20230504
2023-05-05,2023,5,5,Sexta-feira,Maio,4,False,20230505
2023-05-06,2023,5,6,Sábado,Maio,5,True,20230506
2023-05-07,2023,5,7,Domingo,Maio,6,True,20230507
2023-05-08,2023,5,8,Segunda-feira,Maio,0,False,20230508
2023-05-09,2023,5,9,Terça-feira,Maio,1,False,20230509
2023-05-10,2023,5,10,Quarta-feira,Maio,2,False,20230510
2023-05-11,2023,5,11,Quinta-feira,Maio,3,False,20230511
2023-05-12,2023,5,12,Sexta-feira,Maio,4,False,20230512
2023-05-13,2023,5,13,Sábado,Maio,5,True,20230513
2023-05-14,2023,5,14,Domingo,Maio,6,True,20230514
2023-05-15,2023,5,15,Segunda-feira,Maio,0,False,20230515
2023-05-16,2023,5,16,Terça-feira,Maio,1,False,20230516
2023-05-17,2023,5,17,Quarta-feira,Maio,2,False,20230517
2023-05-18,2023,5,18,Quinta-feira,Maio,3,False,20230518
2023-05-19,2023,5,19,Sexta-feira,Maio,4,False,20230519
2023-05-20,2023,5,20,Sábado,Maio,5,True,20230520
2023-05-21,2023,5,21,Domingo,Maio,6,True,20230521
2023-05-22,2023,5,22,Segunda-feira,Maio,0,False,20230522
2023-05-23,2023,5,23,Terça-feira,Maio,1,False,20230523
2023-05-24,2023,5,24,Quarta-feira,Maio,2,False,20230524
2023-05-25,2023,5,25,Quinta-feira,Maio,3,False,20230525
2023-05-26,2023,5,26,Sexta-feira,Maio,4,False,20230526
2023-05-27,2023,5,27,Sábado,Maio,5,True,20230527
2023-05-28,2023,5,28,Domingo,Maio,6,True,20230528
2023-05-29,2023,5,29,Segunda-feira,Maio,0,False,20230529
2023-05-30,2023,5,30,Terça-feira,Maio,1,False,20230530
2023-05-31,2023,5,31,Quarta-feira,Maio,2,False,20230531
2023-06-01,2023,6,1,Quinta-feira,Junho,3,False,20230601
2023-06-02,2023,6,2,Sexta-feira,Junho,4,False,20230602
2023-06-03,2023,6,3,Sábado,Junho,5,True,20230603
2023-06-04,2023,6,4,Domingo,Junho,6,True,20230604
2023-06-05,2023,6,5,Segunda-feira,Junho,0,False,20230605
2023-06-06,2023,6,6,Terça-feira,Junho,1,False,20230606
2023-06-07,2023,6,7,Quarta-feira,Junho,2,False,20230607
2023-06-08,2023,6,8,Quinta-feira,Junho,3,False,20230608
2023-06-09,2023,6,9,Sexta-feira,Junho,4,False,20230609
2023-06-10,2023,6,10,Sábado,Junho,5,True,20230610
2023-06-11,2023,6,11,Domingo,Junho,6,True,20230611
2023-06-12,2023,6,12,Segunda-feira,Junho,0,False,20230612
2023-06-13,2023,6,13,Terça-feira,Junho,1,False,20230613
2023-06-14,2023,6,14,Quarta-feira,Junho,2,False,20230614
2023-06-15,2023,6,15,Quinta-feira,Junho,3,False,20230615
2023-06-16,2023,6,16,Sexta-feira,Junho,4,False,20230616
2023-06-17,2023,6,17,Sábado,Junho,5,True,20230617
2023-06-18,2023,6,18,Domingo,Junho,6,True,20230618
2023-06-19,2023,6,19,Segunda-feira,Junho,0,False,20230619
2023-06-20,2023,6,20,Terça-feira,Junho,1,False,20230620
2023-06-21,2023,6,21,Quarta-feira,Junho,2,False,20230621
2023-06-22,2023,6,22,Quinta-feira,Junho,3,False,20230622
2023-06-23,2023,6,23,Sexta-feira,Junho,4,False,20230623
2023-06-24,2023,6,24,Sábado,Junho,5,True,20230624
2023-06-25,2023,6,25,Domingo,Junho,6,True,20230625
2023-06-26,2023,6,26,Segunda-feira,Junho,0,False,20230626
2023-06-27,2023,6,27,Terça-feira,Junho,1,False,20230627
2023-06-28,2023,6,28,Quarta-feira,Junho,2,False,20230628
2023-06-29,2023,6,29,Quinta-feira,Junho,3,False,20230629
2023-06-30,2023,6,30,Sexta-feira,Junho,4,False,20230630
2023-07-01,2023,7,1,Sábado,Julho,5,True,20230701
2023-07-02,2023,7,2,Domingo,Julho,6,True,20230702
2023-07-03,2023,7,3,Segunda-feira,Julho,0,False,20230703
2023-07-04,2023,7,4,Terça-feira,Julho,1,False,20230704
2023-07-05,2023,7,5,Quarta-feira,Julho,2,False,20230705
2023-07-06,2023,7,6,Quinta-feira,Julho,3,False,20230706
2023-07-07,2023,7,7,Sexta-feira,Julho,4,False,20230707
2023-07-08,2023,7,8,Sábado,Julho,5,True,20230708
2023-07-09,2023,7,9,Domingo,Julho,6,True,20230709
2023-07-10,2023,7,10,Segunda-feira,Julho,0,False,20230710
2023-07-11,2023,7,11,Terça-feira,Julho,1,False,20230711
2023-07-12,2023,7,12,Quarta-feira,Julho,2,False,20230712
2023-07-13,2023,7,13,Quinta-feira,Julho,3,False,20230713
2023-07-14,2023,7,14,Sexta-feira,Julho,4,False,20230714
2023-07-15,2023,7,15,Sábado,Julho,5,True,20230715
2023-07-16,2023,7,16,Domingo,Julho,6,True,20230716
2023-07-17,2023,7,17,Segunda-feira,Julho,0,False,20230717
2023-07-18,2023,7,18,Terça-feira,Julho,1,False,20230718
2023-07-19,2023,7,19,Quarta-feira,Julho,2,False,20230719
2023-07-20,2023,7,20,Quinta-feira,Julho,3,False,20230720
2023-07-21,2023,7,21,Sexta-feira,Julho,4,False,20230721
2023-07-22,2023,7,22,Sábado,Julho,5,True,20230722
2023-07-23,2023,7,23,Domingo,Julho,6,True,20230723
2023-07-24,2023,7,24,Segunda-feira,Julho,0,False,20230724
2023-07-25,2023,7,25,Terça-feira,Julho,1,False,20230725
2023-07-26,2023,7,26,Quarta-feira,Julho,2,False,20230726
2023-07-27,2023,7,27,Quinta-feira,Julho,3,False,20230727
2023-07-28,2023,7,28,Sexta-feira,Julho,4,False,20230728
2023-07-29,2023,7,29,Sábado,Julho,5,True,20230729
2023-07-30,2023,7,30,Domingo,Julho,6,True,20230730
2023-07-31,2023,7,31,Segunda-feira,Julho,0,False,20230731
2023-08-01,2023,8,1,Terça-feira,Agosto,1,False,20230801
2023-08-02,2023,8,2,Quarta-feira,Agosto,2,False,20230802
2023-08-03,2023,8,3,Quinta-feira,Agosto,3,False,20230803
2023-08-04,2023,8,4,Sexta-feira,Agosto,4,False,20230804
